source,source,variables,page number,screenshot,sheet reference
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,17,https://drive.google.com/open?id=1CQQjNUDqKKvNL7-u6B4xYTMrjv-lFbdQ,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,18,https://drive.google.com/open?id=16B5Dy0O7KK4obYHEACGgUo0_IZWTo7Gn,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",roster from state clubs ,40,https://drive.google.com/open?id=1AfvdgkL2T8MDA1l-8_uvZwahcLvcCRPH,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,41,https://drive.google.com/open?id=1XYJV7_r82sUjLnBvnXswWmI7AuV3nBvl,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",national officers ,51,https://drive.google.com/open?id=1b7__uTxNY4aqTC0TmPGmYcwIxGz5s92e,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",roster from state clubs ,55,https://drive.google.com/open?id=1l40Y2YDUanFV1V3MEb5qDxQ6GTHEy7s6,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,56,https://drive.google.com/open?id=15uZm-ggZHr1I4DT-t9iHdrU5sbpY2Er8,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,57,https://drive.google.com/open?id=14AcICIu0lGbZSeShwlRpQWC4eHZFF86-,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",,58,https://drive.google.com/open?id=1ZYPyfJQKofU3SBUVB2BjlQ2Kae2UnNbO,
,"National Association Notes [newsletter of the NACWC] covering music, NACW literary contest, Colored Women's Clubs' activities in Pennsylvania, and National Association of Teachers in Colored Schools, 1918",national association notes ,8,https://drive.google.com/open?id=1WP96ElNbE542oyrRHo0Bw_OEWRzJ4q3G,
,"National Association Notes [newsletter of the NACWC] covering music, NACW literary contest, Colored Women's Clubs' activities in Pennsylvania, and National Association of Teachers in Colored Schools, 1918",roster from states clubs ,11,https://drive.google.com/open?id=1tRD9fULFZv_kjjzjjiENLWsjQDcBy_8T,
,"National Association Notes [newsletter of the NACWC] covering music, NACW literary contest, Colored Women's Clubs' activities in Pennsylvania, and National Association of Teachers in Colored Schools, 1918",,12,https://drive.google.com/open?id=1_cNKFAnKNxq_lrQEufCL-Fij-yU2BQJf,
,"National Association Notes [newsletter of the NACWC] covering music, NACW literary contest, Colored Women's Clubs' activities in Pennsylvania, and National Association of Teachers in Colored Schools, 1918",,13,https://drive.google.com/open?id=1IYU95HOomcjExHCbSfNzIMeuPVA62-dH,
,"National Association Notes [newsletter of the NACWC] covering music, NACW literary contest, Colored Women's Clubs' activities in Pennsylvania, and National Association of Teachers in Colored Schools, 1918",,14,https://drive.google.com/open?id=1lEGMJMqh9FFO7iesWyOXEWr0UPbouvCX,
,"NACW Convention Minutes, 1918",,50,https://drive.google.com/open?id=1pnRPh2G1Mt8jIqVZseGQtK9uWo4OcXig,
,"NACW Convention Minutes, 1918",,51,https://drive.google.com/open?id=1mukF_hxrZ1XMn_uWQiwjPLFjbuTjbcAZ,
,"NACW Convention Minutes, 1918",,60,https://drive.google.com/open?id=19d4A84cV24HE0_kNT_Tk7N6qD6YbHXT1,organizations
,"NACW Convention Minutes, 1918",,61,https://drive.google.com/open?id=1TydcaWcjsSi5Chg60qNwdl3hGoOqlafV,
,"NACW Convention Minutes, 1918",,62,https://drive.google.com/open?id=1igm9cR9zqdNspWFXKGluJ-BHhW6I6vO7,
,"NACW Convention Minutes, 1918",,63,https://drive.google.com/open?id=1e0y-Ox5YyoUq_2H7XMICeF5ReE_2taPh,
,"NACW Convention Minutes, 1918",,64,https://drive.google.com/open?id=1U_SZjPbiIP-4PirDQ2UH4Ig8npF_glY_,
,"NACW Convention Minutes, 1918",,65,https://drive.google.com/open?id=1cxckcZt2TfEbxwvzf883dbsR0q6vk2zS,
,"NACW Convention Minutes, 1918",,66,https://drive.google.com/open?id=1P-WDlDZP5jhcuZ5-bTj6xh7B_svzGA2i,
,"NACW Convention Minutes, 1918",,67,https://drive.google.com/open?id=1QUvEpDHGQC8as82-UxydexHfn4nfh-zr,
,"NACW Convention Minutes, 1918",,68,https://drive.google.com/open?id=19c-4FAVaX-Vz_2j39bVJTys73XfIn3sG,
,"NACW Convention Minutes, 1918",,69,https://drive.google.com/open?id=1pbZpJKDw1SvWNXqjGkBwbDBU0MiG9qML,
,"NACW Convention Minutes, 1918",,70,https://drive.google.com/open?id=1W-vqtoNvF3d2Jn-Pp_2t5oPwO388l9Bh,
,"NACW Convention Minutes, 1918",financial records,71,https://drive.google.com/open?id=1cDqjjuZuygaxyG58e_YpeIM5aUg2P-kX,organizations
,"NACW Convention Minutes, 1918",,72,https://drive.google.com/open?id=10tSEplGG8RALgoU1R9b5sly8ZG4ho84M,organizations
,"NACW Convention Minutes, 1918",,73,https://drive.google.com/open?id=1Bfjk6e2VTCHQLPHSV_zB0pWCbdSWwuYH,organizations
,"NACW Convention Minutes, 1918",,74,https://drive.google.com/open?id=1gx79UV6CL97NRgJn1rk2MUa8fPiqpb4y,organizations
,"NACW Convention Minutes, 1918",,75,https://drive.google.com/open?id=1N2d6Qh7eK1pQp8lWOH23dh3LJ-J6l8VS,organizations
,"NACW Convention Minutes, 1918",,76,https://drive.google.com/open?id=1EsLHhHl90iGlqTbEkkm8W6h27CXSD9SN,organizations
,"NACW Convention Minutes, 1918",,77,https://drive.google.com/open?id=1kRsRWyr7GQZpE_YBrQ3kd2flF04gEVMj,organizations
,"NACW Convention Minutes, 1918",,78,https://drive.google.com/open?id=1Vv0dR8s4v6abt8XjqUlt12g2lYGPjC0b,organizations
,"NACW Convention Minutes, 1918",,79,https://drive.google.com/open?id=1b3u8xCUd6UlwTaJyDJWR1WCLBMlN2yN_,organizations
,"NACW Convention Minutes, 1918",,80,https://drive.google.com/open?id=17hL9wfyHzBrHKo81WNirFLxBu6hW-9LF,organizations
,"NACW Convention Minutes, 1918",,81,https://drive.google.com/open?id=1-0jp6Vu7PtZW_k4EOrgQ0dNm7HJ_jc9I,organizations
,"NACW Convention Minutes, 1918",,82,https://drive.google.com/open?id=1hnxHPDN2gwX0qsLphyNJAUBigpvlu2V1,organizations
,"NACW Convention Minutes, 1918",,83,https://drive.google.com/open?id=1HFmlQVdnrJuxSDMIpKLFotOku2OZxIg-,organizations
,"NACW Convention Minutes, 1918",,84,https://drive.google.com/open?id=1g6iPU0T_vKldbQF6grSmbHTmF9ToKte0,organizations
,"NACW Convention Minutes, 1918",,85,https://drive.google.com/open?id=1WMYn0ekjr_bZ95XYzVkGq-oe-5E-8wCL,organizations
,"NACW Convention Minutes, 1918",,86,https://drive.google.com/open?id=1imYzC74V_1-TuC_VtPUx1UcGn8HsYu-P,organizations
,"NACW Convention Minutes, 1918",,87,https://drive.google.com/open?id=1mtwBHIAjiGNPjwlwFdtImJbDomaEIe-g,organizations
,"NACW Convention Minutes, 1918",,88,https://drive.google.com/open?id=1Ietp40ZL4oZbCIm_ZpxBK5B4_gq_Mg1B,
,"NACW Convention Minutes, 1918",,89,https://drive.google.com/open?id=1BcYyYLLrkscE10qWeC1htMQYXh4IXeoT,
,"NACW Convention Minutes, 1918",,90,https://drive.google.com/open?id=1H4QLC2tt2zvk4dDix6r_aiDlnoUa9p49,
,"NACW Convention Minutes, 1918",,91,https://drive.google.com/open?id=1mlMPFZmMluhfLYWvKBA8z03LRHfTgJU1,
,"NACW Convention Minutes, 1918",,92,https://drive.google.com/open?id=1o0JfNZN1Dz9nA3YR7EoQ7dAp8Y8hhkNe,
,"NACW Convention Minutes, 1918",,93,https://drive.google.com/open?id=1jb7IJ0FXiTqzTQDaSIHoYaWGd8j8uv8R,
,"NACW Convention Minutes, 1918",officers,92,https://drive.google.com/open?id=1_zREQSJs0GAhJZi8idC2pp-vdD8d9lyl,
,"NACW Convention Minutes, 1918",,96,https://drive.google.com/open?id=1a5YxG09AKv1di7wnDRKkA8pmMI16CgYa,
,"NACW Convention Minutes, 1918",,97,https://drive.google.com/open?id=1YHucNSe01kKqmCiX22_lBBaw0hMgOmYT,
,"NACW Convention Minutes, 1918",,98,https://drive.google.com/open?id=1XRxA9HhJKe7q2koLl1Kc3MmTAi5ycfre,
,"NACW Convention Minutes, 1918",,99,https://drive.google.com/open?id=1SOCEkUtMFgn08ppdNJdz4pb60c1h4jY1,
,"National Association Notes [newsletter of the NACWC] covering Colored Women's Clubs activities in Illinois, Kentucky, New York, and West Virginia, 1919",national officers ,10,https://drive.google.com/open?id=1qjRKvrU9u4TIUqRMRYEd_0ANocXRiHD3,
,"National Association Notes [newsletter of the NACWC] covering Colored Women's Clubs activities in Illinois, Kentucky, New York, and West Virginia, 1919",,11,https://drive.google.com/open?id=1AGt7BAWmDy7e3dTgfqvzeLIJvfa7fDyG,
,"National Association Notes [newsletter of the NACWC] covering interracial work and Mary B. Talbert return from Europe, 1920",national officers ,6,https://drive.google.com/open?id=1SUTN8tjetrjVZNP19ETxQaOA4mq--bqs,
,"National Association Notes [newsletter of the NACWC] covering interracial work and Mary B. Talbert return from Europe, 1920",,7,https://drive.google.com/open?id=14NM4RMR5ibVJz6fN_ioKY_3jNcvEvn7W,
,"National Association Notes [newsletter of the NACWC] covering interracial work and Mary B. Talbert return from Europe, 1920",,8,https://drive.google.com/open?id=1eoqj6Hz1mGgUASv1m1d1OOKEefdVzY23,
,"NACW Convention Minutes, 1920",officers ,4,https://drive.google.com/open?id=1qUX5mqbUGepD9N-9gfPmdYi5YXb9I9dU,
,"NACW Convention Minutes, 1920",officers ,6,https://drive.google.com/open?id=1sc9wUTKHAraWCIUb8GcFLbe9bprd3JrU,
,"NACW Convention Minutes, 1920",,7,https://drive.google.com/open?id=1Ce3c431RohtBwEv8U7SIPh5lxBOH6lai,
,"NACW Convention Minutes, 1920",,7,https://drive.google.com/open?id=1JSVhLzthDxbK8YVGpMpmam7itogVa_0c,
,"NACW Convention Minutes, 1920",report of credential committee,23,https://drive.google.com/open?id=1APazxO0LHb-kp-4BgfgWd-ME_SuNc12f,
,"NACW Convention Minutes, 1920",,24,https://drive.google.com/open?id=1jjoqgOCoD-kT6CUtrxbR9x3ae-AZ1bDn,
,"NACW Convention Minutes, 1920",,24,https://drive.google.com/open?id=1Dg-644Zjhmd7PbndWCPAzvZql0H9qAUH,
,"NACW Convention Minutes, 1920",,25,https://drive.google.com/open?id=18xMhSZC91QOWx8nZKUxzz0BhPA5gyQHg,
,"NACW Convention Minutes, 1920",,25,https://drive.google.com/open?id=13MR8cnbDen4ujEQL9O7P7pXYXsdDPKxX,
,"NACW Convention Minutes, 1920",,26,https://drive.google.com/open?id=1cKfaKfRlEuFD0lTGXcxuJCPNZsxs85cy,
,"NACW Convention Minutes, 1920",,26,https://drive.google.com/open?id=1Ju5rQB9YOyw1OzspsbXye5tdCcptIfzF,
,"NACW Convention Minutes, 1920",,27,https://drive.google.com/open?id=1LNZp2UUCo40Pdr2rgmLck0nRu5g66Un_,
,"NACW Convention Minutes, 1920",,27,https://drive.google.com/open?id=11O4HzxVKSblUh168bZ9QNzkDG6ybfYwX,
,"NACW Convention Minutes, 1920",,28,https://drive.google.com/open?id=1ubrotsSWN1OrRm76kXUwwe1svF3eYqnZ,
,"NACW Convention Minutes, 1920",,31,https://drive.google.com/open?id=1TnhBCi_5Uj4fXEUTgXN_ZL4ZOtVP1E0T,organizations
,"NACW Convention Minutes, 1920",,32,https://drive.google.com/open?id=1i4RgCt-pceSZYoPu4ZTvPhcbff4mo-04,organizations
,"NACW Convention Minutes, 1920",,32,https://drive.google.com/open?id=1roERRrcas3kLCFAnph_vk4qCrJwAUpt9,organizations
,"NACW Convention Minutes, 1920",,33,https://drive.google.com/open?id=1uc0KQuKZddYU1RgigMA8Xx4rc0GV4y5t,organizations
,"NACW Convention Minutes, 1920",,33,https://drive.google.com/open?id=1acV5ciVeT8hkbtrYmklJ-_vqn2aOMmL7,organizations
,"NACW Convention Minutes, 1920",,34,https://drive.google.com/open?id=1SJt-EvtU-DSezWhDL-E646Q2QaO6aR9Q,organizations
,"NACW Convention Minutes, 1920",,35,https://drive.google.com/open?id=1b1R8oTA3V74FSE1Te2vZwuFlG1AnDCp8,organizations
,"NACW Convention Minutes, 1920",,36,https://drive.google.com/open?id=1lirBJYxQr_X1GHl9ghFSdhjtguVFZ_DK,organizations
,"NACW Convention Minutes, 1920",,37,https://drive.google.com/open?id=13gNrbay0nSuiG9H1lc1JzXimhK-ZFLDZ,organizations
